@relation InstanceResultListener

@attribute Key_Dataset {solar-flare}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest,weka.classifiers.trees.NBTree}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',''}
@attribute Key_Scheme_version_ID {1116839470751428698,-4716005707058256086}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 9\nSize of the tree: 11\n','Number of leaves: 4\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 7\n','Number of leaves: 12\nSize of the tree: 15\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

solar-flare,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.005175,0.053971,106.673847,1018.236226,1.127369,1.864861,-0.737492,0.010536,0.017429,-0.006892,-12.376324,-0.115667,-1097.80572,0.990654,106,?,0,?,0,0.009346,1,1,0.990654,0.995305,?,?,1,0.990654,?,?,0.009346,1,0.990654,0.995305,?,?,1,0.995305,0.990654,0.013,0.001,0.015625,0,15.625,0,266784,130841,17525,100,33.956386,?,-1,?,?,?
solar-flare,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.007651,0.079737,74.113972,101.381217,8.866678,8.500896,0.365782,0.082866,0.079448,0.003419,-7.85232,-0.073386,-88.55988,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.933962,0.999365,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.933962,0.991193,?,0.990654,0.016,0.001,0.015625,0,15.625,0,232697,130841,17525,99.065421,33.64486,?,-1,?,?,?
solar-flare,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.008677,0.077508,84.051521,98.547443,8.866678,5.635576,3.231102,0.082866,0.052669,0.030197,-12.834158,-0.119945,-144.745956,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.990566,0.999912,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.990478,0.993682,?,0.990654,0.014,0.001,0.015625,0,15.625,0,203597,130841,17525,99.065421,33.956386,?,-1,?,?,?
solar-flare,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.010576,0.088503,102.439742,112.527177,8.866678,1075.307594,-1066.440916,0.082866,10.049604,-9.966738,-14.627939,-0.13671,-164.976537,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.462264,0.989932,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.462308,0.980767,?,0.990654,0.012,0,0.015625,0,15.625,0,156791,130841,17525,99.065421,33.956386,?,-1,?,?,?
solar-flare,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.006706,0.074015,64.958635,94.106422,8.866678,4.195048,4.67163,0.082866,0.039206,0.04366,-1.926033,-0.018,-21.722149,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.990566,0.999912,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.990566,0.99524,?,0.990654,0.02,0.001,0.015625,0,15.625,0,243756,130841,17525,100,34.267913,?,-1,?,?,?
solar-flare,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.007688,0.074984,74.324991,95.172009,10.866678,1074.353552,-1063.486874,0.101558,10.040687,-9.93913,-9.783193,-0.091432,-90.029289,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,1,1,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.995327,0.990742,?,0.990654,0.012,0.001,0,0,0,0,244704,130841,17525,99.065421,33.956386,?,-1,?,?,?
solar-flare,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.000973,0.006213,20.080231,117.330972,1.115669,0.22807,0.887599,0.010525,0.002152,0.008374,-7.444596,-0.070232,-667.276352,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.014,0,0.015625,0,15.625,0,259133,130974,17392,100,33.647799,?,-1,?,?,?
solar-flare,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.003139,0.019108,64.766601,360.864279,1.115669,0.770488,0.345181,0.010525,0.007269,0.003256,-16.954668,-0.15995,-1519.686113,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.017,0,0.015625,0,15.625,0,266323,130974,17392,100,34.27673,?,-1,?,?,?
solar-flare,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.000181,0.001825,3.726356,34.459654,1.115669,0.04181,1.073859,0.010525,0.000394,0.010131,-0.533941,-0.005037,-47.85833,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.013,0,0.015625,0,15.625,0,259945,130974,17392,100,33.333333,?,-1,?,?,?
